project_name,algorithm,file_id,f1,G,MCC
eclipse-2.0,ibea,eclipse-2.0_exp_57_train,0.367486339,0.701719246,0.290517785
eclipse-2.0,ibea,eclipse-2.0_exp_58_train,0.387331256,0.627187809,0.305917894
eclipse-2.0,ibea,eclipse-2.0_exp_59_train,0.374081496,0.557627738,0.313709137
eclipse-2.0,ibea,eclipse-2.0_exp_5_train,0.384942319,0.588281539,0.313623811
eclipse-2.0,ibea,eclipse-2.0_exp_60_train,0.389478542,0.656925871,0.306533094
eclipse-2.0,ibea,eclipse-2.0_exp_61_train,0.402625821,0.627526002,0.325614172
eclipse-2.0,ibea,eclipse-2.0_exp_62_train,0.378583018,0.610127147,0.297735622
eclipse-2.0,ibea,eclipse-2.0_exp_63_train,0.391774892,0.621129281,0.312750153
eclipse-2.0,ibea,eclipse-2.0_exp_64_train,0.387129211,0.634626694,0.304710907
eclipse-2.0,ibea,eclipse-2.0_exp_65_train,0.390882638,0.646444986,0.308409079
eclipse-2.0,ibea,eclipse-2.0_exp_66_train,0.367597005,0.548317823,0.309548558
eclipse-2.0,ibea,eclipse-2.0_exp_67_train,0.376483279,0.608968766,0.29520802
eclipse-2.0,ibea,eclipse-2.0_exp_68_train,0.385209713,0.610968982,0.306374136
eclipse-2.0,ibea,eclipse-2.0_exp_69_train,0.354651163,0.523853218,0.307717988
eclipse-2.0,ibea,eclipse-2.0_exp_6_train,0.393287887,0.629908488,0.313103209
eclipse-2.0,ibea,eclipse-2.0_exp_70_train,0.389822372,0.64790848,0.307061805
eclipse-2.0,ibea,eclipse-2.0_exp_71_train,0.375551355,0.572159455,0.307264251
eclipse-2.0,ibea,eclipse-2.0_exp_72_train,0.365551425,0.567976702,0.294137564
eclipse-2.0,ibea,eclipse-2.0_exp_73_train,0.385797562,0.621040294,0.304973211
eclipse-2.0,ibea,eclipse-2.0_exp_74_train,0.38547486,0.608307955,0.307421385
eclipse-2.0,ibea,eclipse-2.0_exp_75_train,0.389839295,0.629704961,0.308739398
eclipse-2.0,ibea,eclipse-2.0_exp_76_train,0.389839867,0.614699305,0.31164588
eclipse-2.0,ibea,eclipse-2.0_exp_77_train,0.379351741,0.586456605,0.306244109
eclipse-2.0,ibea,eclipse-2.0_exp_78_train,0.35699227,0.533014547,0.30342589
eclipse-2.0,ibea,eclipse-2.0_exp_79_train,0.394265233,0.636441934,0.313431578
eclipse-2.0,ibea,eclipse-2.0_exp_7_train,0.374574347,0.595536814,0.29619812
eclipse-2.0,ibea,eclipse-2.0_exp_80_train,0.378177309,0.578006536,0.308296131
eclipse-2.0,ibea,eclipse-2.0_exp_81_train,0.389047347,0.606318043,0.312859905
eclipse-2.0,ibea,eclipse-2.0_exp_82_train,0.380999021,0.635422973,0.297029324
