file_id,algorithm,model_id,MCC,G,f1,precision,tpr,tnr,project_name
ant-1.3_exp_14_train,DT,best_model_performance,0.199842634,0.512877645,0.347826087,0.413793103,0.3,0.876811594,ant-1.3
ant-1.3_exp_14_train,SVM,best_model_performance,0.0,0.0,0.0,0.0,0.0,1.0,ant-1.3
ant-1.3_exp_15_train,ibea,best_model_performance,0.1241395505845082,0.4807904120194735,0.2444202898550724,0.3333333333333333,0.275,0.8405797101449275,ant-1.3
ant-1.3_exp_15_train,DFDP,best_model_performance,0.0822154082259667,0.4170288281141495,0.2424242424242424,0.3076923076923077,0.2,0.8695652173913043,ant-1.3
ant-1.3_exp_15_train,RF,best_model_performance,0.044105141,0.388465954,0.212121212,0.269230769,0.175,0.862318841,ant-1.3
ant-1.3_exp_15_train,LR,best_model_performance,0.087279743,0.370076373,0.206896552,0.333333333,0.15,0.913043478,ant-1.3
ant-1.3_exp_15_train,NB,best_model_performance,0.105296332,0.491227389,0.303797468,0.307692308,0.3,0.804347826,ant-1.3
ant-1.3_exp_15_train,DT,best_model_performance,0.207754796,0.544737671,0.373333333,0.4,0.35,0.847826087,ant-1.3
ant-1.3_exp_15_train,SVM,best_model_performance,0.0,0.0,0.0,0.0,0.0,1.0,ant-1.3
ant-1.3_exp_16_train,ibea,best_model_performance,0.13637873238281825,0.5257844381134904,0.2951449275362319,0.3255813953488372,0.35,0.7898550724637681,ant-1.3
ant-1.3_exp_16_train,DFDP,best_model_performance,0.1249843745512351,0.4239223336031451,0.2580645161290322,0.3636363636363636,0.2,0.8985507246376812,ant-1.3
ant-1.3_exp_16_train,RF,best_model_performance,0.095169332,0.396543033,0.229508197,0.333333333,0.175,0.898550725,ant-1.3
ant-1.3_exp_16_train,LR,best_model_performance,0.087279743,0.370076373,0.206896552,0.333333333,0.15,0.913043478,ant-1.3
ant-1.3_exp_16_train,NB,best_model_performance,0.105296332,0.491227389,0.303797468,0.307692308,0.3,0.804347826,ant-1.3
ant-1.3_exp_16_train,DT,best_model_performance,0.153111631,0.486967844,0.314285714,0.366666667,0.275,0.862318841,ant-1.3
ant-1.3_exp_16_train,SVM,best_model_performance,0.0,0.0,0.0,0.0,0.0,1.0,ant-1.3
ant-1.3_exp_17_train,ibea,best_model_performance,0.13101204709434006,0.4459966855014293,0.2009420289855072,0.36,0.225,0.8840579710144928,ant-1.3
ant-1.3_exp_17_train,DFDP,best_model_performance,0.1421345006041772,0.4478208104374667,0.28125,0.375,0.225,0.8913043478260869,ant-1.3
ant-1.3_exp_17_train,RF,best_model_performance,0.145616133,0.402888124,0.245614035,0.411764706,0.175,0.927536232,ant-1.3
ant-1.3_exp_17_train,LR,best_model_performance,0.087279743,0.370076373,0.206896552,0.333333333,0.15,0.913043478,ant-1.3
ant-1.3_exp_17_train,NB,best_model_performance,0.105296332,0.491227389,0.303797468,0.307692308,0.3,0.804347826,ant-1.3
ant-1.3_exp_17_train,DT,best_model_performance,0.142134501,0.44782081,0.28125,0.375,0.225,0.891304348,ant-1.3
ant-1.3_exp_17_train,SVM,best_model_performance,0.0,0.0,0.0,0.0,0.0,1.0,ant-1.3
ant-1.3_exp_18_train,ibea,best_model_performance,0.18612762761379845,0.6055300708194984,0.4183333333333333,0.3235294117647059,0.55,0.6666666666666666,ant-1.3
ant-1.3_exp_18_train,DFDP,best_model_performance,0.1203256755807117,0.4441650691979865,0.2727272727272727,0.3461538461538461,0.225,0.8768115942028986,ant-1.3
ant-1.3_exp_18_train,RF,best_model_performance,0.113613838,0.422209509,0.253968254,0.347826087,0.2,0.891304348,ant-1.3
ant-1.3_exp_18_train,LR,best_model_performance,0.087279743,0.370076373,0.206896552,0.333333333,0.15,0.913043478,ant-1.3
ant-1.3_exp_18_train,NB,best_model_performance,0.105296332,0.491227389,0.303797468,0.307692308,0.3,0.804347826,ant-1.3
ant-1.3_exp_18_train,DT,best_model_performance,0.168559335,0.506479752,0.333333333,0.375,0.3,0.855072464,ant-1.3
ant-1.3_exp_18_train,SVM,best_model_performance,0.0,0.0,0.0,0.0,0.0,1.0,ant-1.3
ant-1.3_exp_19_train,ibea,best_model_performance,0.18507792480828936,0.4930678878501271,0.2009420289855072,0.4074074074074074,0.275,0.8840579710144928,ant-1.3
ant-1.3_exp_19_train,DFDP,best_model_performance,0.0631363395953687,0.4135389857723491,0.2352941176470588,0.2857142857142857,0.2,0.855072463768116,ant-1.3
ant-1.3_exp_19_train,RF,best_model_performance,0.019034675,0.302166093,0.142857143,0.25,0.1,0.913043478,ant-1.3
ant-1.3_exp_19_train,LR,best_model_performance,0.087279743,0.370076373,0.206896552,0.333333333,0.15,0.913043478,ant-1.3
ant-1.3_exp_19_train,NB,best_model_performance,0.105296332,0.491227389,0.303797468,0.307692308,0.3,0.804347826,ant-1.3
ant-1.3_exp_19_train,DT,best_model_performance,0.169749828,0.472044582,0.307692308,0.4,0.25,0.891304348,ant-1.3
ant-1.3_exp_19_train,SVM,best_model_performance,0.0,0.0,0.0,0.0,0.0,1.0,ant-1.3
ant-1.3_exp_1_train,ibea,best_model_performance,0.12032567558071179,0.4441650691979865,0.2081884057971014,0.3461538461538461,0.225,0.8768115942028986,ant-1.3
ant-1.3_exp_1_train,DFDP,best_model_performance,0.0441051408712217,0.3884659535936827,0.2121212121212121,0.2692307692307692,0.175,0.8623188405797102,ant-1.3
ant-1.3_exp_1_train,RF,best_model_performance,0.124984375,0.423922334,0.258064516,0.363636364,0.2,0.898550725,ant-1.3
ant-1.3_exp_1_train,LR,best_model_performance,0.087279743,0.370076373,0.206896552,0.333333333,0.15,0.913043478,ant-1.3
ant-1.3_exp_1_train,NB,best_model_performance,0.105296332,0.491227389,0.303797468,0.307692308,0.3,0.804347826,ant-1.3
