file_id,algorithm,f1,G
camel-1.2_exp_14_train,NSGA-III,0.4775547445255474,0.5828642454013898
camel-1.2_exp_14_train,RS,0.4010344827586207,0.5176035261971202
camel-1.2_exp_14_train,SPEA2,0.4501968503937008,0.5655342858794551
camel-1.2_exp_15_train,IBEA,0.4711538461538462,0.5818115600712184
camel-1.2_exp_15_train,MonoGP,0.4398795180722891,0.5036157444377596
camel-1.2_exp_15_train,NSGA-II,0.5392857142857143,0.6339296399326664
camel-1.2_exp_15_train,NSGA-III,0.4570987654320987,0.5305107012718833
camel-1.2_exp_15_train,RS,0.4144444444444445,0.5142600804781534
camel-1.2_exp_15_train,SPEA2,0.4525862068965517,0.5530897162133285
camel-1.2_exp_16_train,IBEA,0.5353448275862068,0.6264974794057089
camel-1.2_exp_16_train,MonoGP,0.4575,0.5314750549117347
camel-1.2_exp_16_train,NSGA-II,0.4742753623188407,0.579229911955669
camel-1.2_exp_16_train,NSGA-III,0.5102941176470588,0.6116840501553193
camel-1.2_exp_16_train,RS,0.3855844155844156,0.4744779919169445
camel-1.2_exp_16_train,SPEA2,0.4808823529411765,0.5864750549117348
camel-1.2_exp_17_train,IBEA,0.4496575342465753,0.5492490127595858
camel-1.2_exp_17_train,MonoGP,0.4592086330935251,0.5580159112340471
camel-1.2_exp_17_train,NSGA-II,0.5,0.5747421465015725
camel-1.2_exp_17_train,NSGA-III,0.4665584415584416,0.5534599158495498
camel-1.2_exp_17_train,RS,0.4514814814814815,0.522344770738994
camel-1.2_exp_17_train,SPEA2,0.4629562043795621,0.5702174428371899
camel-1.2_exp_18_train,IBEA,0.4865384615384615,0.585429152007475
camel-1.2_exp_18_train,MonoGP,0.4732258064516129,0.5536762511030365
camel-1.2_exp_18_train,NSGA-II,0.4865384615384615,0.585429152007475
camel-1.2_exp_18_train,NSGA-III,0.5186708860759492,0.595459226249834
camel-1.2_exp_18_train,RS,0.4405882352941176,0.5495290989518495
camel-1.2_exp_18_train,SPEA2,0.6000000000000001,0.6682884875597089
camel-1.2_exp_19_train,IBEA,0.4739795918367347,0.5698586290814205
camel-1.2_exp_19_train,MonoGP,0.2932323232323233,0.4267329136023221
camel-1.2_exp_19_train,NSGA-II,0.5424825174825175,0.6344646805770829
camel-1.2_exp_19_train,NSGA-III,0.4009398496240602,0.5194278824051177
camel-1.2_exp_19_train,RS,0.3670588235294117,0.4803875358652709
camel-1.2_exp_19_train,SPEA2,0.4156250000000001,0.5356429211881654
camel-1.2_exp_1_train,IBEA,0.4875850340136054,0.582045662061831
camel-1.2_exp_1_train,MonoGP,0.5006122448979591,0.5875402271944636
camel-1.2_exp_1_train,NSGA-II,0.5716666666666667,0.6539412887700148
camel-1.2_exp_1_train,NSGA-III,0.4411073825503355,0.537554255086015
camel-1.2_exp_1_train,RS,0.3583495145631068,0.4806429211881653
camel-1.2_exp_1_train,SPEA2,0.4221631205673759,0.5305107012718833
camel-1.2_exp_20_train,IBEA,0.5566455696202531,0.6307094711940148
camel-1.2_exp_20_train,MonoGP,0.4362576687116564,0.5060534718117776
camel-1.2_exp_20_train,NSGA-II,0.4545302013422819,0.5497461669848761
camel-1.2_exp_20_train,NSGA-III,0.5086601307189543,0.593513237465411
camel-1.2_exp_20_train,RS,0.3895804195804196,0.4932532872400917
camel-1.2_exp_20_train,SPEA2,0.4694444444444444,0.5227131536453539
camel-1.2_exp_21_train,IBEA,0.5218944099378882,0.5936278917445773
camel-1.2_exp_21_train,MonoGP,0.4397986577181209,0.5311266372207758
camel-1.2_exp_21_train,NSGA-II,0.4813758389261746,0.5740301986787956
camel-1.2_exp_21_train,NSGA-III,0.3839743589743591,0.4730873448100033
camel-1.2_exp_21_train,RS,0.41,0.5028822516588309
camel-1.2_exp_21_train,SPEA2,0.5186708860759492,0.595459226249834
camel-1.2_exp_22_train,IBEA,0.4727611940298507,0.5808741662076999
